"","Kode Barang","Nama Barang","Merk","No Org","No Prod","Mobil","Harga Jual","Harga Beli","Stok","max stok","Total Penjualan"
"","00000151","BAUT 30","","","","","NaN","0","0","",""
"","00000152","BAUT 8","","","","","NaN","0","0","",""
"","00000153","BAUT DIPAN","","","","","3000","0","3","","117"
"","00000154","BAUT GALVALUM","","","","","NaN","0","0","",""
"","00000155","BAUT KECIL","","","","","NaN","0","0","",""
"","00000156","BAUT KLOSET BIRU","","","","","NaN","0","0","",""
"","00000157","BAUT KLOSET PINK","","","","","NaN","0","0","",""
"","00000158","BAUT KLOSET PUTIH","","","","","NaN","0","0","",""
"","00000159","BAUT SIKU LUBANG","","","","","800","0","437","","13935"
"","00000160","BCP 2 LB SAJA","","","","","NaN","0","0","",""
"","00000161","BCP AFOS + TEMPAT SAMPAH","","","","","NaN","0","0","",""
"","00000162","BCP AFOS 1 LB (CBTK)","","","","","NaN","0","0","",""
"","00000163","BCP AFOS 2 LB","","","","","NaN","0","0","",""
"","00000164","BCP FUJIMIMI 1 LB","","","","","NaN","0","0","",""
"","00000165","BCP FUJIMIMI 1LB+MEJA","","","","","NaN","0","0","",""
"","00000166","BCP ROYAL SB 1 E (1LB+MEJA BESAR)","","","","","NaN","0","0","",""
"","00000167","BCP ROYAL SB 21 E","","","","","NaN","0","0","",""
"","00000168","BCP ROYAL SB 22 (2 LB)","","","","","NaN","0","0","",""
"","00000169","BCP ROYAL SB 35 (1 LB+MEJA KECIL)","","","","","NaN","0","0","",""
"","00000170","BCP ROYAL SB 42 E (1 LB)","","","","","NaN","0","0","",""
"","00000171","BCP ROYAL SB 45","","","","","NaN","0","0","",""
"","00000172","BCP SB 2 ROYAL","","","","","NaN","0","0","",""
"","00000173","BEGEL BETON","","","","","NaN","0","0","",""
"","00000174","BEGEL PLAT","","","","","NaN","0","0","",""
"","00000175","BEL DALCHI","","","","","NaN","0","0","",""
"","00000176","BEL DING DONG","","","","","NaN","0","0","",""
"","00000177","BEL MELODY","","","","","NaN","0","0","",""
"","00000178","BEL TING TONG","","","","","NaN","0","0","",""
"","00000179","BENANG BOL","","","","","5000","0","4","","191"
"","00000180","BENANG TAMPAR KECIL","","","","","4000","0","182","","1888"
"","00000181","BENDRAT ECER KG-AN","","","","","13000","0","0","","500"
"","00000182","BENDRAT RRT JGN PK","","","","","207500","0","0","","5"
"","00000183","BENDRAT SPQ","","","","","307500","0","0","","34"
"","00000184","BESI BETON","","","","","NaN","0","0","",""
"","00000185","BESI BETON  10 SI","","","","","37000","0","0","","494"
"","00000186","BESI BETON 6","","","","","9250","0","0","","500"
"","00000187","BESI BETON 6 ","","","","","23000","0","40","","6361"
"","00000188","BESI BETON 07","","","","","NaN","0","0","",""
"","00000189","BESI BETON 09","","","","","NaN","0","0","",""
"","00000190","BESI BETON 10","","","","","66000","0","0","","3502"
"","00000191","BESI BETON 10","","","","","44000","0","0","","3179"
"","00000192","BESI BETON 10","","","","","NaN","0","0","",""
"","00000193","BESI BETON 10 A","","","","","40000","0","0","","3393"
"","00000194","BESI BETON 10 SNI","","","","","46000","0","0","","12481"
"","00000195","BESI BETON 10 F PJ 10.3","","","","","NaN","0","0","",""
"","00000196","BESI BETON 10 F PJ 11.2","","","","","NaN","0","0","",""
"","00000197","BESI BETON 8","","","","","24100","0","18","","6475"
"","00000198","BESI BETON 8","","","","","NaN","0","0","",""
"","00000199","BESI BETON 8","","","","","NaN","0","0","",""
"","00000200","BESI BETON 10 M PNJANG","","","","","NaN","0","0","",""
"","00000201","BESI BETON 10 SNI","","","","","64500","0","55","","15785"
"","00000202","BESI BETON 10 SNI","","","","","46000","0","57","","4754"
"","00000203","BESI BETON 10 SNI","","","","","63000","0","0","","8491"
"","00000204","BESI BETON 10 ULIR","","","","","NaN","0","0","",""
"","00000205","BESI BETON 10 ULIR SNI","","","","","65000","0","2","","312"
"","00000206","BESI BETON 10","","","","","NaN","0","0","",""
"","00000207","BESI BETON 104","","","","","NaN","0","0","",""
"","00000208","BESI BETON 12","","","","","73000","0","0","","1750"
"","00000209","BESI BETON 12","","","","","NaN","0","0","",""
"","00000210","BESI BETON 12","","","","","NaN","0","0","",""
"","00000211","BESI BETON 12 ","","","","","83000","0","6","","5324"
"","00000212","BESI BETON 12","","","","","NaN","0","0","",""
"","00000213","BESI BETON 12 A","","","","","NaN","0","0","",""
"","00000214","BESI BETON 12 C  TU","","","","","NaN","0","0","",""
"","00000215","BESI BETON 12 F PDK TU","","","","","NaN","0","0","",""
"","00000216","BESI BETON 10","","","","","51500","0","0","","1000"
"","00000217","BESI BETON 12 M PJ 11.2","","","","","NaN","0","0","",""
"","00000218","BESI BETON 12 M PJ 12","","","","","95000","0","1","","500"
"","00000219","BESI BETON 12 ","","","","","78000","0","4","","5887"
"","00000220","BESI BETON 12 SNI (TDK DIPAKAI) SALAH OPNAME","","","","","75500","0","444","","2967"
"","00000221","BESI BETON 12 ULIR","","","","","NaN","0","0","",""
"","00000222","BESI BETON 31","","","","","36000","0","0","","2350"
"","00000223","BESI BETON 8 PDK","","","","","NaN","0","0","",""
"","00000224","BESI BETON 10","","","","","NaN","0","0","",""
"","00000225","BESI BETON 12F PJ 10","","","","","NaN","0","0","",""
"","00000226","BESI BETON 12F PJ 11.2 ","","","","","NaN","0","0","",""
"","00000227","BESI BETON 13","","","","","NaN","0","0","",""
"","00000228","BESI BETON 13","","","","","NaN","0","0","",""
"","00000229","BESI BETON 13 POLOS","","","","","NaN","0","0","",""
"","00000230","BESI BETON 13 ULIR","","","","","NaN","0","0","",""
"","00000231","BESI BETON 12 SNI","","","","","125000","0","1","","330"
"","00000232","BESI BETON 10 B","","","","","NaN","0","0","",""
"","00000233","BESI BETON 8","","","","","38000","0","2","","10496"
"","00000234","BESI BETON 6","","","","","NaN","0","0","",""
"","00000235","BESI BETON 6","","","","","NaN","0","0","",""
"","00000236","BESI BETON 111","","","","","25000","0","3","","417"
"","00000237","BESI BETON 6","","","","","22000","0","0","","2512"
"","00000238","BESI BETON 16","","","","","NaN","0","0","",""
"","00000239","BESI BETON 16 FULL","","","","","165000","0","0","","2"
"","00000240","BESI BETON 16","","","","","NaN","0","0","",""
"","00000241","BESI BETON 16","","","","","NaN","0","0","",""
"","00000242","BESI BETON 16 POLOS","","","","","180000","0","0","","201"
"","00000243","BESI BETON 16 B","","","","","NaN","0","0","",""
"","00000244","BESI BETON 16 ULIR","","","","","NaN","0","0","",""
"","00000245","BESI BETON 16 ULIR","","","","","NaN","0","0","",""
"","00000246","BESI BETON 16 ULIR","","","","","NaN","0","0","",""
"","00000247","BESI BETON 16 ULIR","","","","","153700","0","0","","300"
"","00000248","BESI BETON 16 ULIR SNI","","","","","NaN","0","0","",""
"","00000249","BESI BETON 8 SI","","","","","20500","0","0","","1000"
"","00000250","BESI BETON 6 SNI","","","","","18400","0","0","","5200"
"","00000251","BESI BETON 19","","","","","NaN","0","0","",""
"","00000252","BESI BETON 19","","","","","NaN","0","0","",""
"","00000253","BESI BETON 19 ULIR","","","","","NaN","0","0","",""
"","00000254","BESI BETON 8","","","","","NaN","0","0","",""
"","00000255","BESI BETON 10","","","","","NaN","0","0","",""
"","00000256","BESI BETON 14","","","","","NaN","0","0","",""
"","00000257","BESI BETON 24","","","","","NaN","0","0","",""
"","00000258","BESI BETON 21","","","","","NaN","0","0","",""
"","00000259","BESI BETON 10","","","","","66000","0","0","","8320"
"","00000260","BESI BETON 8","","","","","NaN","0","0","",""
"","00000261","BESI BETON 8","","","","","NaN","0","0","",""
"","00000262","BESI BETON 24","","","","","NaN","0","0","",""
"","00000263","BESI BETON 25","","","","","NaN","0","0","",""
"","00000264","BESI BETON 250","","","","","NaN","0","0","",""
"","00000265","BESI BETON 251","","","","","NaN","0","0","",""
"","00000266","BESI BETON 255","","","","","NaN","0","0","",""
"","00000267","BESI BETON 256","","","","","NaN","0","0","",""
"","00000268","BESI BETON 257","","","","","NaN","0","0","",""
"","00000269","BESI BETON 259","","","","","NaN","0","0","",""
"","00000270","BESI BETON 26","","","","","NaN","0","0","",""
"","00000271","BESI BETON 260","","","","","NaN","0","0","",""
"","00000272","BESI BETON 266","","","","","NaN","0","0","",""
"","00000273","BESI BETON 27","","","","","NaN","0","0","",""
"","00000274","BESI BETON 8","","","","","NaN","0","0","",""
"","00000275","BESI BETON 29","","","","","NaN","0","0","",""
"","00000276","BESI BETON 291","","","","","NaN","0","0","",""
"","00000277","BESI BETON 292","","","","","NaN","0","0","",""
"","00000278","BESI BETON 298","","","","","NaN","0","0","",""
"","00000279","BESI BETON 299","","","","","NaN","0","0","",""
"","00000280","BESI BETON 30","","","","","NaN","0","0","",""
"","00000281","BESI BETON 31","","","","","NaN","0","0","",""
"","00000282","BESI BETON 32","","","","","NaN","0","0","",""
"","00000283","BESI BETON 35","","","","","NaN","0","0","",""
"","00000284","BESI BETON 36","","","","","NaN","0","0","",""
"","00000285","BESI BETON 37","","","","","NaN","0","0","",""
"","00000286","BESI BETON 38","","","","","NaN","0","0","",""
"","00000287","BESI BETON 39","","","","","NaN","0","0","",""
"","00000288","BESI BETON 4,1 X 9,7","","","","","NaN","0","0","",""
"","00000289","BESI BETON 40","","","","","NaN","0","0","",""
"","00000290","BESI BETON 41","","","","","NaN","0","0","",""
"","00000291","BESI BETON 42","","","","","NaN","0","0","",""
"","00000292","BESI BETON 43","","","","","NaN","0","0","",""
"","00000293","BESI BETON 44","","","","","NaN","0","0","",""
"","00000294","BESI BETON 46","","","","","NaN","0","0","",""
"","00000295","BESI BETON 47","","","","","NaN","0","0","",""
"","00000296","BESI BETON 48","","","","","NaN","0","0","",""
"","00000297","BESI BETON 49","","","","","NaN","0","0","",""
"","00000298","BESI BETON 5,5 X 11,2","","","","","NaN","0","0","",""
"","00000299","BESI BETON 50","","","","","NaN","0","0","",""
"","00000300","BESI BETON 51","","","","","NaN","0","0","",""
"","00000301","BESI BETON 52","","","","","NaN","0","0","",""
"","00000302","BESI BETON 53","","","","","NaN","0","0","",""
"","00000303","BESI BETON 54","","","","","NaN","0","0","",""
"","00000304","BESI BETON 55","","","","","NaN","0","0","",""
"","00000305","BESI BETON 56","","","","","NaN","0","0","",""
"","00000306","BESI BETON 57","","","","","NaN","0","0","",""
"","00000307","BESI BETON 156","","","","","NaN","0","0","",""
